id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
han1085,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1085.krn,han/han1085.krn,kern,bae240cdf5c0b1592295eef0267aae32
han1086,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1086.krn,han/han1086.krn,kern,eeaf68c44f737319e8e7e753ca51d4a2
han1087,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1087.krn,han/han1087.krn,kern,10d1fc36fe8dc5a75de17d9d67b3a7dd
han1088,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1088.krn,han/han1088.krn,kern,94b36ef208c351530753ad9111ed5150
han1089,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1089.krn,han/han1089.krn,kern,c6cef9a871629732dff1c5fbddcf4426
han1090,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1090.krn,han/han1090.krn,kern,bf91ec7dae32bbf672bec22c2afd373a
han1091,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1091.krn,han/han1091.krn,kern,af8a7d6e401de75a42ad28e4acd88c01
han1092,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1092.krn,han/han1092.krn,kern,9afc0e16fed70a5db26900443626e607
han1093,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1093.krn,han/han1093.krn,kern,c2c0dfbf842830b0ad141fc9d7ee5f92
han1094,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1094.krn,han/han1094.krn,kern,ce5ef31c2824177ddb854606280c86e1
han1095,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1095.krn,han/han1095.krn,kern,78a2825416c5587ebc17c7afbb406796
han1096,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1096.krn,han/han1096.krn,kern,91f9307a4415bd0fcb4cc21673353509
han1097,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1097.krn,han/han1097.krn,kern,4ce558eeeb51bc3c7a27457f6777838b
han1098,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1098.krn,han/han1098.krn,kern,75d1ba1bd5010a73f6bc6ff75be9b735
han1099,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1099.krn,han/han1099.krn,kern,0bac46fc2d68187f4c2a52e37ec8c3bf
han1100,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1100.krn,han/han1100.krn,kern,6a9c0ad1974a48b0313a5e61d11cef0b
han1101,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1101.krn,han/han1101.krn,kern,dfec28b4681357bc0f37ed7fff3d2dad
han1102,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1102.krn,han/han1102.krn,kern,01d2320cd4d5906160208fc3dbcc30bb
han1103,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1103.krn,han/han1103.krn,kern,15faf863e0b243ba2c82c7344c01b336
